what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.esb.project.ui,1.1.0.GA-N200903120225-H28,org.jboss.tools.esb.project.ui,1321185457548
started,bundle,org.jboss.tools.jmx.core,1.0.0.GA-N200903120225-H28,org.jboss.tools.jmx.core,1321185457577
started,bundle,org.jboss.tools.seam.core,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.core,1321185457577
started,bundle,org.jboss.tools.seam.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.ui,1321185457634
started,bundle,org.jboss.tools.smooks.ui,1.0.0.GA-N200903120225-H28,org.jboss.tools.smooks.ui,1321185457634
started,bundle,org.jboss.tools.vpe,3.0.0.GA-N200903120225-H28,org.jboss.tools.vpe,1321185457711
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1321185457810
started,bundle,org.jboss.tools.vpe.xulrunner,3.0.0.GA-N200903120225-H28,org.jboss.tools.vpe.xulrunner,1321185457832
started,bundle,org.jboss.tools.jst.web.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.web.ui,1321185458389
started,bundle,org.jboss.tools.jsf.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.jsf.ui,1321185458559
started,bundle,org.jboss.tools.struts.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.struts.ui,1321185458589
started,bundle,org.jboss.tools.common.verification.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.verification.ui,1321185458651
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1321185458844
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321185461741
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321185750318
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1321185754465
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321185762952
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321185968800
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.help.aboutAction,1321185968887
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321185972533
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321185972536
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321185972618
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321190189708
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321190190519
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321190190523
