what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.ide.eclipse.as.core,2.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.as.core,1321910927867
started,bundle,org.jboss.tools.common,3.0.0.GA-N200903120225-H28,org.jboss.tools.common,1321910928413
started,bundle,org.jboss.tools.common.model,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.model,1321910928475
started,bundle,org.jboss.tools.seam.core,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.core,1321910928584
started,bundle,org.jboss.tools.seam.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.ui,1321910928631
started,bundle,org.jboss.tools.smooks.ui,1.0.0.GA-N200903120225-H28,org.jboss.tools.smooks.ui,1321910928709
started,bundle,org.jboss.tools.vpe,3.0.0.GA-N200903120225-H28,org.jboss.tools.vpe,1321910928959
started,bundle,org.jboss.tools.vpe.xulrunner,3.0.0.GA-N200903120225-H28,org.jboss.tools.vpe.xulrunner,1321910929208
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321910929801
started,bundle,org.jboss.tools.jst.web.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.web.ui,1321910931158
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1321910931221
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1321910931736
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1321910931814
started,bundle,org.jboss.tools.jsf.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.jsf.ui,1321910931907
started,bundle,org.jboss.tools.struts.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.struts.ui,1321910931907
started,bundle,org.jboss.tools.common.verification.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.verification.ui,1321910932001
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1321910932079
started,bundle,org.eclipse.jst.j2ee.core,1.1.203.v200901221030,org.eclipse.jst.j2ee.core,1321910932672
started,bundle,org.eclipse.jem,2.0.202.v200810282000,org.eclipse.jem,1321910932765
started,bundle,org.eclipse.jst.jee,1.0.103.v200901220530,org.eclipse.jst.jee,1321910933015
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1321910933155
started,bundle,org.jboss.tools.common.model.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.model.ui,1321910933514
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1321910934824
started,bundle,org.jboss.tools.common.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.verification,1321910936603
started,bundle,org.jboss.tools.jst.web.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.web.verification,1321910937102
