what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1321185456215
started,bundle,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views,1321185456216
started,bundle,org.eclipse.ui.workbench,3.4.2.M20090127-1700,org.eclipse.ui.workbench,1321185456226
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1321185456240
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1321185456240
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1321185456263
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1321185456275
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1321185456275
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1321185456275
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1321185456276
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1321185456293
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1321185456302
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1321185456313
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1321185456344
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1321185456354
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1321185456377
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1321185456403
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1321185456403
started,bundle,org.eclipse.jem.util,2.0.100.v200805140020,org.eclipse.jem.util,1321185456415
started,bundle,org.eclipse.jst.jsf.common,1.1.4.v20090128,org.eclipse.jst.jsf.common,1321185456444
started,bundle,org.eclipse.jst.jsf.core,1.1.103.v200902042324,org.eclipse.jst.jsf.core,1321185456488
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.core,1321185456489
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1321185456525
started,bundle,org.eclipse.mylyn.commons.net,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.commons.net,1321185456525
started,bundle,org.eclipse.mylyn.commons.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.commons.ui,1321185456545
