what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.jsf.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.jsf.verification,1319492369987
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1319492370049
started,bundle,org.jboss.tools.jst.web.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.web.verification,1319492370159
started,bundle,org.jboss.tools.struts,3.0.0.GA-N200903120225-H28,org.jboss.tools.struts,1319492370252
started,bundle,org.jboss.tools.jsf,3.0.0.GA-N200903120225-H28,org.jboss.tools.jsf,1319492370252
started,bundle,org.jboss.tools.jst.web.tiles,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.web.tiles,1319492370346
started,bundle,org.jboss.tools.hibernate.xml,3.0.0.GA-N200903120225-H28,org.jboss.tools.hibernate.xml,1319492370377
started,bundle,org.jboss.tools.seam.xml,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.xml,1319492370486
started,bundle,org.jboss.tools.seam.pages.xml,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.pages.xml,1319492370611
started,bundle,org.jboss.tools.esb.core,1.1.0.GA-N200903120225-H28,org.jboss.tools.esb.core,1319492370627
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1319492370658
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1319492370705
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1319492370783
started,bundle,org.jboss.ide.eclipse.archives.core,3.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.archives.core,1319492372421
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.archives.webtools,1319492372514
started,bundle,org.jboss.tools.esb.project.core,1.1.0.GA-N200903120225-H28,org.jboss.tools.esb.project.core,1319492372561
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1319492380923
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1319492472276
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1319492603769
started,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1319493026015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1319493028620
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1319493297937
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1319493298264
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1319493299746
