what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.compatibility,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.compatibility,1322135175642
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1322135175649
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1322135175665
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1322135175678
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1322135175679
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1322135175696
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1322135175719
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1322135175749
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1322135175762
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1322135175772
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1322135175795
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1322135175797
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1322135175815
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1322135175830
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1322135175851
started,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.202.v200901090100,org.eclipse.tptp.platform.profile.server.wst,1322135175852
started,bundle,org.guvnor.tools,5.0.0.GA-N200903120225-H28,org.guvnor.tools,1322135175865
started,bundle,org.hibernate.eclipse,3.2.4.GA-N200903120225-H28,org.hibernate.eclipse,1322135175865
started,bundle,org.hibernate.eclipse.console,3.2.4.GA-N200903120225-H28,org.hibernate.eclipse.console,1322135175884
started,bundle,org.hibernate.eclipse.jdt.ui,3.2.4.GA-N200903120225-H28,org.hibernate.eclipse.jdt.ui,1322135175891
started,bundle,org.jboss.ide.eclipse.as.core,2.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.as.core,1322135175914
started,bundle,org.jboss.ide.eclipse.as.ui,2.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.as.ui,1322135175914
started,bundle,org.jboss.tools.common,3.0.0.GA-N200903120225-H28,org.jboss.tools.common,1322135175963
started,bundle,org.jboss.tools.common.model,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.model,1322135175994
started,bundle,org.jboss.tools.esb.project.ui,1.1.0.GA-N200903120225-H28,org.jboss.tools.esb.project.ui,1322135176006
