what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321911722017
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321911936788
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912037498
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912051725
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912052412
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1321912054689
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912064502
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912065172
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912070648
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912071319
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912086232
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912086856
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1321912096450
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1321912131488
started,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1321912295304
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912328235
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912338375
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912341776
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912469071
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912474609
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321912480100
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.help.aboutAction,1321912480116
started,bundle,org.jboss.tools.common.text.ext,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.text.ext,1321912487978
started,bundle,org.jboss.tools.jst.jsp,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.jsp,1321912488134
started,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1321912488212
