what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.compatibility,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.compatibility,1321185456561
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1321185456568
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1321185456602
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1321185456603
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1321185456616
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1321185456616
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1321185456641
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1321185456705
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1321185456779
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1321185456792
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1321185456802
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1321185456847
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1321185456848
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1321185456857
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1321185456928
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1321185457230
started,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.202.v200901090100,org.eclipse.tptp.platform.profile.server.wst,1321185457231
started,bundle,org.guvnor.tools,5.0.0.GA-N200903120225-H28,org.guvnor.tools,1321185457306
started,bundle,org.hibernate.eclipse,3.2.4.GA-N200903120225-H28,org.hibernate.eclipse,1321185457306
started,bundle,org.hibernate.eclipse.console,3.2.4.GA-N200903120225-H28,org.hibernate.eclipse.console,1321185457346
started,bundle,org.hibernate.eclipse.jdt.ui,3.2.4.GA-N200903120225-H28,org.hibernate.eclipse.jdt.ui,1321185457365
started,bundle,org.jboss.ide.eclipse.as.core,2.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.as.core,1321185457389
started,bundle,org.jboss.ide.eclipse.as.ui,2.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.as.ui,1321185457389
started,bundle,org.jboss.tools.common,3.0.0.GA-N200903120225-H28,org.jboss.tools.common,1321185457470
started,bundle,org.jboss.tools.common.model,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.model,1321185457524
