what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.jmx.core,1.0.0.GA-N200903120225-H28,org.jboss.tools.jmx.core,1322135176028
started,bundle,org.jboss.tools.seam.core,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.core,1322135176028
started,bundle,org.jboss.tools.seam.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.ui,1322135176047
started,bundle,org.jboss.tools.smooks.ui,1.0.0.GA-N200903120225-H28,org.jboss.tools.smooks.ui,1322135176047
started,bundle,org.jboss.tools.vpe,3.0.0.GA-N200903120225-H28,org.jboss.tools.vpe,1322135176047
started,bundle,org.jboss.tools.vpe.xulrunner,3.0.0.GA-N200903120225-H28,org.jboss.tools.vpe.xulrunner,1322135176049
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1322135176271
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1322135177312
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1322135177510
started,bundle,org.eclipse.jst.j2ee.core,1.1.203.v200901221030,org.eclipse.jst.j2ee.core,1322135177533
started,bundle,org.eclipse.jem,2.0.202.v200810282000,org.eclipse.jem,1322135177577
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1322135177620
started,bundle,org.eclipse.jst.jee,1.0.103.v200901220530,org.eclipse.jst.jee,1322135177889
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1322135178031
started,bundle,org.jboss.tools.common.model.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.model.ui,1322135178213
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1322135179146
started,bundle,org.jboss.tools.common.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.common.verification,1322135181181
started,bundle,org.jboss.tools.struts.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.struts.verification,1322135181534
started,bundle,org.jboss.tools.jst.web.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.web.verification,1322135181564
started,bundle,org.jboss.tools.jsf.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.jsf.verification,1322135181596
started,bundle,org.jboss.tools.struts,3.0.0.GA-N200903120225-H28,org.jboss.tools.struts,1322135181635
started,bundle,org.jboss.tools.jsf,3.0.0.GA-N200903120225-H28,org.jboss.tools.jsf,1322135181647
started,bundle,org.jboss.tools.jst.web.tiles,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.web.tiles,1322135181745
started,bundle,org.jboss.tools.hibernate.xml,3.0.0.GA-N200903120225-H28,org.jboss.tools.hibernate.xml,1322135181789
started,bundle,org.jboss.tools.seam.xml,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.xml,1322135181872
