what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1321910925839
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1321910925854
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1321910925870
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1321910925901
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1321910925917
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1321910925932
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1321910925932
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1321910926010
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1321910926010
started,bundle,org.guvnor.tools,5.0.0.GA-N200903120225-H28,org.guvnor.tools,1321910926026
started,bundle,org.hibernate.eclipse,3.2.4.GA-N200903120225-H28,org.hibernate.eclipse,1321910926026
started,bundle,org.hibernate.eclipse.console,3.2.4.GA-N200903120225-H28,org.hibernate.eclipse.console,1321910926135
started,bundle,org.hibernate.eclipse.jdt.ui,3.2.4.GA-N200903120225-H28,org.hibernate.eclipse.jdt.ui,1321910926151
started,bundle,org.jboss.tools.esb.project.ui,1.1.0.GA-N200903120225-H28,org.jboss.tools.esb.project.ui,1321910926182
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1321910926400
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1321910926915
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1321910926978
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1321910927024
started,bundle,org.jboss.ide.eclipse.as.ui,2.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.as.ui,1321910927071
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1321910927149
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1321910927508
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1321910927586
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1321910927602
started,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.202.v200901090100,org.eclipse.tptp.platform.profile.server.wst,1321910927726
started,bundle,org.jboss.tools.jmx.core,1.0.0.GA-N200903120225-H28,org.jboss.tools.jmx.core,1321910927820
