what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.struts.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.struts.verification,1321910937133
started,bundle,org.jboss.tools.jsf.verification,3.0.0.GA-N200903120225-H28,org.jboss.tools.jsf.verification,1321910937133
started,bundle,org.jboss.tools.struts,3.0.0.GA-N200903120225-H28,org.jboss.tools.struts,1321910937196
started,bundle,org.jboss.tools.jsf,3.0.0.GA-N200903120225-H28,org.jboss.tools.jsf,1321910937289
started,bundle,org.jboss.tools.jst.web.tiles,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.web.tiles,1321910937367
started,bundle,org.jboss.tools.hibernate.xml,3.0.0.GA-N200903120225-H28,org.jboss.tools.hibernate.xml,1321910937367
started,bundle,org.jboss.tools.seam.xml,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.xml,1321910937476
started,bundle,org.jboss.tools.seam.pages.xml,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.pages.xml,1321910937586
started,bundle,org.jboss.tools.esb.core,1.1.0.GA-N200903120225-H28,org.jboss.tools.esb.core,1321910937617
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1321910937632
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1321910937679
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1321910937742
started,bundle,org.jboss.ide.eclipse.archives.core,3.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.archives.core,1321910938334
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.0.0.GA-N200903120225-H28,org.jboss.ide.eclipse.archives.webtools,1321910938350
started,bundle,org.jboss.tools.esb.project.core,1.1.0.GA-N200903120225-H28,org.jboss.tools.esb.project.core,1321910938553
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321910939910
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1321910945573
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1321911050015
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1321911051949
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321911349285
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321911349753
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321911350112
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321911353060
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1321911354667
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1321911714637
